Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117
Region,Country,Industry,Edition,Category,Subcategory,Lowest Level,Hierarchy level,Data Type,Global Brand Name,Global Brand Owner,2013 (%),2014 (%),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),Current/Constant,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019,Rank 2020,Rank 2021,Rank 2022,Currency Conversion,Unit,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Parle,Parle Products Pvt Ltd,15.4171253695,14.6091709592,13.3385468272,12.687273603,12.4481646113,11.8932551123,11.1316116891,12.373122918,12.2436031572,11.6403689143,Current Prices,Local Currency,INR million,88787.0006599426,95974.4204788208,99061.2488708496,106342.3581390381,116593.1382827759,124757.3685302735,129661.448600769,146105.1208114624,157073.4474334717,159498.786491394,Year-on-Year Exchange Rates,USD million,1515.350028921,1572.5286376018,1544.4798843737,1581.5313938025,1790.3967151781,1823.8489041377,1841.2438294076,1971.6411357603,2124.337495882,2045.2776508396,Year-on-Year Exchange Rates,GBP million,969.470436836,955.0883724528,1010.7719896627,1171.8488656662,1390.1684494727,1367.3091259503,1442.7372899295,1537.8792512918,1544.4837542953,1500.1433113768,Year-on-Year Exchange Rates,EUR million,1141.3044690454,1185.2631685409,1392.5941288757,1429.7599359538,1588.6154115989,1545.0923513416,1644.7611344441,1730.0662141904,1795.8651338267,1769.195033371,Year-on-Year Exchange Rates,CHF million,1404.6235791101,1439.1767245744,1486.3786021996,1558.3627581196,1763.0741368226,1779.4924437835,1829.4390010265,1851.3233231357,1941.941183625,1809.2843790916,Year-on-Year Exchange Rates,JPY million,147893.6546218289,166433.2281587845,186950.0627925691,172059.3868468861,200831.2866795486,201395.1946325941,200713.37468575,210521.1586422462,233155.2254672447,218926.4336139144,1,1,1,1,1,1,1,1,1,1,Local Currency,INR million,8.0951262746,3.2163032365,7.3501084947,9.6394139862,7.0023248089,3.9308941253,12.6820056294,7.5071472931,1.5440795994,2017-2022,36.7994625074,6.4674563229
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Britannia,Britannia Industries Ltd,11.3691137642,11.2752991708,11.1177731066,10.5782493596,10.2109579594,10.2791886826,9.7775223314,10.7794890107,10.4965035523,10.2857816791,Current Prices,Local Currency,INR million,65474.5607299805,74072.670288086,82568.2514648437,88664.9107666015,95638.8086547852,107826.2022094727,113888.9627685547,127287.0684814454,134659.869140625,140937.9468994141,Year-on-Year Exchange Rates,USD million,1117.4707643946,1213.6712543876,1287.334905717,1318.6310926333,1468.6233802523,1576.3293427382,1617.268295227,1717.6976335567,1821.2053907275,1807.269129061,Year-on-Year Exchange Rates,GBP million,714.9205460342,737.1333502794,842.4856012556,977.0506966791,1140.3248621251,1181.7478360951,1267.2375271967,1339.8034270679,1324.0938149735,1325.5719558201,Year-on-Year Exchange Rates,EUR million,841.6368186162,914.7813287116,1160.7370544196,1192.088828548,1303.1065773997,1335.4036099891,1444.6864632882,1507.2370869688,1539.6043562216,1563.314186603,Year-on-Year Exchange Rates,CHF million,1035.8173060203,1110.750786239,1238.9070761503,1299.3138135043,1446.2112650817,1537.9926198673,1606.899448708,1612.8765186633,1664.8361001721,1598.738343756,Year-on-Year Exchange Rates,JPY million,109061.8221039245,128452.4936215473,155824.1993915293,143457.7006594987,164737.5247079794,174063.2977137595,176297.8765347588,183406.4472761897,199885.1662319956,193450.0114658916,2,2,2,2,2,2,2,2,2,2,Local Currency,INR million,13.1319850981,11.4692519437,7.3837815305,7.8654541327,12.7431465596,5.6227154762,11.7641827506,5.7922621262,4.6621742609,2017-2022,47.3648081587,8.0634320942
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Sunfeast,ITC Group,4.0239639626,3.9470115927,3.8701508556,3.7866257232,3.732652377,3.6311924301,3.506803127,4.1409646253,4.4093893115,4.435307599,Current Prices,Local Currency,INR million,23173.9499053955,25929.7499694824,28742.40965271,31738.7897033691,34961.1101989746,38090.3300170899,40847.380065918,48897.6098327637,56568.1500244141,60773.5188598633,Year-on-Year Exchange Rates,USD million,395.5156205113,424.8556458006,448.1275376905,472.0216214459,536.8605544128,556.8489258657,580.0489451989,659.8573578475,765.0551008657,779.3082481769,Year-on-Year Exchange Rates,GBP million,253.0377101491,258.0396169407,293.2733326454,349.7483539239,416.8498513118,417.4603589061,454.507018493,514.6884598015,556.2276129468,571.5967489908,Year-on-Year Exchange Rates,EUR million,297.887442935,320.2267589111,404.058210333,426.7241269392,476.3552923157,471.7402928806,518.1507988789,579.0084718214,646.759652722,674.1130142275,Year-on-Year Exchange Rates,CHF million,366.615340267,388.8274859482,431.2695748379,465.1067432307,528.6677251703,543.3062210685,576.3300579221,619.590093942,699.3672196595,689.3881812794,Year-on-Year Exchange Rates,JPY million,38601.1478939212,44965.8562275293,54243.1611819209,51352.6010819131,60220.3941708532,61489.0288067439,63230.9417222815,70455.9937369581,83968.1052954125,83417.1220661652,4,4,4,4,3,3,3,3,3,3,Local Currency,INR million,11.8918012481,10.847230253,10.4249437916,10.1526256222,8.9505733665,7.2381889251,19.7080688011,15.686943018,7.4341636303,2017-2022,73.8317762622,11.6929685286
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Haldiram's,Haldiram Foods International Pvt Ltd,3.1733822427,3.1511635211,3.1193875332,3.0965955847,3.1452190136,3.1947714837,3.2923772671,3.5972197757,3.7593981452,3.7491682912,Current Prices,Local Currency,INR million,18275.4621582031,20701.4548339844,23166.7233886719,25955.0859375,29459.0380859375,33512.3798828125,38349.7392578125,42476.9262695313,48229.3994140625,51371.8935546875,Year-on-Year Exchange Rates,USD million,311.9119004374,339.1906968966,361.1961152166,386.0059524477,452.3710897416,489.9231046981,544.5814583273,573.2123192433,652.2777926712,658.7497502646,Year-on-Year Exchange Rates,GBP million,199.5508368365,206.0102963493,236.3817876359,286.0143271824,351.2473023889,367.2871862071,426.71587803,447.1053663674,474.2337109904,483.1710899129,Year-on-Year Exchange Rates,EUR million,234.9202752654,255.6584538622,325.675714208,348.9629406107,401.3879599046,415.0433953696,486.4681162211,502.9795986166,551.4203593819,569.8281531234,Year-on-Year Exchange Rates,CHF million,289.1205342645,310.427005584,347.6083970321,380.3511603148,445.4676227946,478.008052568,541.0899649398,538.2324990469,596.2730080355,582.7402613992,Year-on-Year Exchange Rates,JPY million,30441.6735376782,35899.2525134717,43720.6318472405,41994.7070021301,50743.0935497399,54098.8668534051,59364.6428280648,61204.5059348901,71590.3080900948,70512.5455266595,6,6,6,6,6,5,4,4,4,4,Local Currency,INR million,13.2745900201,11.9086729626,12.0360678636,13.5000598991,13.7592469416,14.4345444636,10.7619688989,13.5425833499,6.5157231456,2017-2022,74.3841513251,11.7638625175
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Cadbury Dairy Milk,Mondelez International Inc,4.4234829474,4.3790332137,4.2581205545,3.8727611472,3.5961489796,3.3050714558,3.1728233399,3.1757753684,3.4014831272,3.6182264187,Current Prices,Local Currency,INR million,25474.7739257813,28767.900390625,31623.740234375,32460.7607421875,33682.5795898438,34669.3999023438,36957.1704349518,37500.3988037109,43637.6999740601,49577.7004394531,Year-on-Year Exchange Rates,USD million,434.7843616549,471.3583784329,493.0508268105,482.7588279861,517.2275208008,506.8377745051,524.8064305161,506.0556979671,590.1774221146,635.7425339678,Year-on-Year Exchange Rates,GBP million,278.1605417748,286.2834391277,322.6730048492,357.7041765865,401.6056187551,379.9678322503,411.2208254048,394.7232301995,429.0840991014,466.2960599497,Year-on-Year Exchange Rates,EUR million,327.4631771916,355.2772978378,444.563696556,436.4309388276,458.9349410002,429.3728318076,468.8033199259,444.0513284451,498.9221614748,549.9265750725,Year-on-Year Exchange Rates,CHF million,403.0147190769,431.386742952,474.5029094795,475.6866551212,509.3343039819,494.5113533856,521.4417214284,475.1740565054,539.5045956077,562.3877204936,Year-on-Year Exchange Rates,JPY million,42433.6602041389,49887.6107349735,59680.8569439712,52520.7329198199,58018.1295172663,55966.6384710051,57208.9736531881,54033.8857519645,64774.5239094806,68049.8540631474,3,3,3,3,4,4,5,5,5,5,Local Currency,INR million,12.927009576,9.9271750978,2.6468105974,3.7639871023,2.9297646573,6.598817802,1.4698862558,16.3659624061,13.6120842045,2017-2022,47.1909249326,8.0379181422
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Cadbury,Mondelez International Inc,3.6510736561,3.5934393046,3.5503084948,3.3238667562,3.1719576339,3.0029968134,2.7755950272,2.9033942344,3.1448503545,3.4937164045,Current Prices,Local Currency,INR million,21026.4800567627,23606.9696044922,26367.0396728516,27860.030456543,29709.4797973633,31500.7099914551,32330.2395019531,34284.0500488281,40345.3526306152,47871.6380004883,Year-on-Year Exchange Rates,USD million,358.8642135143,386.7971858007,411.0927617952,414.3364278391,456.2168565173,460.5141650093,459.1021820952,462.6521165125,545.6501195983,613.8654309872,Year-on-Year Exchange Rates,GBP million,229.589361666,234.9244941059,269.0362321839,307.006029011,354.23338005,345.2397942714,359.7371664838,360.8684550378,396.7108554467,450.249930616,Year-on-Year Exchange Rates,EUR million,270.2829860081,291.5409278167,370.6654727533,374.574685556,404.8003010453,390.1293097395,410.110499103,405.9657618136,461.279823453,531.0025615422,Year-on-Year Exchange Rates,CHF million,332.642047303,353.9964192857,395.6279980295,408.2666085586,449.2547007539,449.3143456293,456.1587248613,434.4191436579,498.8004218501,543.0348953814,Year-on-Year Exchange Rates,JPY million,35024.0796097824,40937.8263366432,49760.3228172535,45076.8615796629,51174.478551333,50851.4382319193,50046.5754845582,49399.486473453,59887.4599294117,65708.1298814065,5,5,5,5,5,6,6,6,6,6,Local Currency,INR million,12.2725703055,11.6917593177,5.6623375328,6.6383608004,6.0291536786,2.6333676629,6.043291287,17.6796573717,18.654652591,2017-2022,61.1325352278,10.0111356767
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Balaji,Balaji Wafers Pvt Ltd,2.0973034567,2.1526414329,2.1659366836,2.1681394145,2.2013973947,2.1267277816,2.2153463233,2.6722428169,2.6768626869,2.5550081837,Current Prices,Local Currency,INR million,12078.3400878906,14141.7000732422,16085.7397460938,18172.9396972656,20618.9296875,22308.8598632813,25804.4406738281,31554.552734375,34341.5288085938,35009.2602539063,Year-on-Year Exchange Rates,USD million,206.1440623679,231.7099518664,250.7953588946,270.2692995704,316.6229550615,326.1369656441,366.4332588809,425.8184370683,464.4514939096,448.9291683332,Year-on-Year Exchange Rates,GBP million,131.8840996342,140.7309701823,164.1309326672,200.2582897609,245.8445319821,244.4994475273,287.1248872171,332.1382006631,337.6759994079,329.2746531898,Year-on-Year Exchange Rates,EUR million,155.259930153,174.6469127268,226.1318828944,244.3329408182,280.9389124838,276.2902836761,327.3304561563,373.6451213101,392.6364082369,388.3302859269,Year-on-Year Exchange Rates,CHF million,191.0811397824,212.0607292004,241.3607705503,266.3099909139,311.7910899081,318.2052332765,364.0839330257,399.8332098411,424.5735367227,397.1297154939,Year-on-Year Exchange Rates,JPY million,20119.0472038257,24523.7093706902,30357.2798634692,29403.3808938934,35516.0367075178,36013.0806470686,39944.7671255738,45466.5857376118,50975.5596702547,48053.3592728156,7,7,7,8,8,9,8,7,7,7,Local Currency,INR million,17.0831419743,13.7468597324,12.9754676137,13.4595174528,8.1960130879,15.6690249164,22.2834206454,8.8322471172,1.9443847391,2017-2022,69.7918407236,11.1689140561
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Bingo!,ITC Group,1.2932833088,1.4938053128,1.5509938348,1.6823999843,1.9936852827,2.173548703,2.1613079855,2.2753267233,2.1737594079,2.0962910364,Current Prices,Local Currency,INR million,7447.9997558594,9813.5,11518.75,14101.5625,18673.4375,22800,25175,26867.662109375,27887.2060546875,28723.8212890625,Year-on-Year Exchange Rates,USD million,127.116881543,160.7929457465,179.5906862766,209.7194775976,286.7481024483,333.3170257134,357.4949524747,362.5703708559,377.1601021392,368.3300106637,Year-on-Year Exchange Rates,GBP million,81.3251435818,97.6589355404,117.5316280446,155.3933945883,222.6479537135,249.8822188936,280.1211282608,282.8047357905,274.2114431683,270.1578446573,Year-on-Year Exchange Rates,EUR million,95.7396391772,121.1945854577,161.929551715,189.5937747636,254.4310157265,282.3729453867,319.3459737375,318.1465113033,318.8423113631,318.6108376241,Year-on-Year Exchange Rates,CHF million,117.8284658399,147.1575521493,172.8347231561,206.6471932338,282.3721463091,325.2106724936,355.2029330835,340.4448059381,344.7770124022,325.8304486782,Year-on-Year Exchange Rates,JPY million,12406.2294629747,17017.9978830574,21738.3796422699,22815.9901641522,32164.9329891067,36805.9257077782,38970.4053305154,38713.2998888719,41394.9519894896,39426.0288301139,11,9,9,9,9,8,9,8,8,8,Local Currency,INR million,31.7602084006,17.3765730881,22.4226804124,32.4210526316,22.0985691574,10.4166666667,6.723583354,3.7946879828,2.9999966032,2017-2022,53.8218193038,8.9942503548
