Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138
Region,Country,Industry,Edition,Category,Subcategory,Hierarchy Level,Data Type,Outlet,Outlet Hierarchy,2008 (%),2009 (%),2010 (%),2011 (%),2012 (%),2013 (%),2014 (%),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Unit 2008,Unit 2009,Unit 2010,Unit 2011,Unit 2012,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Unit,Growth% 2008-2009,Growth% 2009-2010,Growth% 2010-2011,Growth% 2011-2012,Growth% 2012-2013,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,Retail Channels,1,100.0000002944,100.0000006597,100.0000031799,99.9999986442,100.0000023588,100.0000005635,100.0000004929,99.9999987922,100.0000012015,99.9999993564,99.9999992565,99.999999879,99.9999989696,99.999818287,99.9999992109,INR million (Historic Current Prices),239068.7759138821,286679.4035502184,346580.7329456961,419074.366700839,495606.9240429865,575898.548089189,656946.3881292286,742668.9650507256,838181.3362290858,936629.1431183815,1048975.796991825,1164803.9121844766,1180826.5405091492,1282899.8130168917,1370221.0506081579,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",5495.1822685539,5922.1420696177,7581.5063510021,8980.902075288,9279.2520774007,9829.0050910149,10763.9827732045,11579.0714365506,12465.4946546554,14382.816741,15335.1531885371,16540.6760368926,15934.8705133321,17350.5593770458,17570.5568247066,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",2997.6219274962,3798.1658163493,4908.7726453955,5604.0828949797,5854.5894440347,6288.2698237283,6537.5946371622,7577.8268093886,9236.4121434891,11167.6579153556,11496.5087595598,12960.7223866411,12429.192255123,12614.5949679514,12887.4205841587,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",3754.8478423491,4261.5534639473,5724.7192146698,6459.0742603673,7221.8160481514,7402.8357953922,8113.1446657431,10440.3735286661,11269.2450550859,12761.8444243418,12991.3326945592,14775.5884627541,13982.4538059173,14667.756276029,15198.7882207942,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",5951.7679087431,6435.3900713553,7906.2137432258,7976.001246217,8701.7806886454,9110.8008358064,9851.1868722086,11143.4821461648,12282.8814574766,14163.3259242179,14962.1984372471,16434.6282452833,14962.457871981,15860.8346736484,15543.1874894018,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",567979.2668545678,553906.0955142508,665422.7072691838,716731.9671022561,740383.2737460994,959281.6553689657,1139238.0131925826,1401577.4203628278,1356157.3139982724,1613340.5337955125,1693356.3707604604,1803093.5685560717,1701439.1424670634,1904298.9126633215,1880751.662574816,INR million (Historic Current Prices),19.9150338451,20.8948841994,20.9168101005,18.262285509,16.2006663247,14.0732843153,13.0486411784,12.8606924044,11.7454067078,11.9947852038,11.0420197992,1.3755644325,8.6442224159,6.8065515877,2017-2022,46.292805501,7.9057515061
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,  Retail Offline,2,100.0000002023,100.0000006305,100.0000031244,99.9999986442,99.9684403872,99.9477040699,99.7988482481,99.6979485441,99.5924180532,99.4548468606,99.2976520499,99.1391462999,98.6594687606,98.4485293702,98.2375777218,INR million (Historic Current Prices),239068.7756937585,286679.4034664473,346580.7327531273,419074.366700839,495450.5007304417,575597.3733438676,655624.9257287922,740425.7315721795,834765.0503919123,931523.0859360695,1041608.3447289466,1154776.656004667,1164997.203854486,1262998.2942409518,1346071.9801735876,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",5495.1822634942,5922.1420678872,7581.5063467896,8980.902075288,9276.3233625715,9823.8648660311,10742.3307803314,11544.0968221271,12414.6873997079,14304.4084560754,15227.4471676885,16398.2850350474,15721.2587581329,17081.4015833415,17260.8895530309,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",2997.6219247361,3798.1658152394,4908.772642668,5604.0828949797,5852.7416202251,6284.9812791245,6524.4441188575,7554.9379644342,9198.7660845419,11106.7771491236,11415.7633508299,12849.149543962,12262.5751764901,12418.9057987284,12660.2899126012,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",3754.8478388918,4261.5534627021,5724.719211489,6459.0742603673,7219.5367006805,7398.9643718702,8096.8248932033,10408.8383541399,11223.3135118586,12692.2729105135,12900.0884316002,14648.3922804837,13795.0147867565,14440.2165851144,14930.9215089953,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",5951.767903263,6435.3900694748,7906.2137388329,7976.001246217,8699.0342351672,9106.0362064624,9831.370988772,11109.8232302895,12232.8185031383,14086.1141989667,14857.1118536955,16293.1501596489,14761.8816021297,15614.7868561517,15269.2510108368,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",567979.2663315985,553906.0953523929,665422.7068994587,716731.9671022561,740149.5941935875,958779.9847028288,1136946.4103665608,1397343.9522362617,1350629.8453891107,1604545.3675542881,1681463.1295041838,1787571.5730176372,1678630.8365393195,1874757.6810091923,1847604.8908555403,INR million (Historic Current Prices),19.9150339205,20.8948841676,20.9168101677,18.2249596011,16.1765650646,13.9033908233,12.9343474471,12.7412264049,11.5910501402,11.8177703221,10.8647661905,0.8850670644,8.412130953,6.5774978724,2017-2022,44.5022673615,7.6403081344
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,    Grocery Retailers,3,99.5891706318,99.6009639975,99.6229471,99.6378703889,99.6189846895,99.5953831206,99.4430764396,99.3369971907,99.2229395867,98.792882012,98.6484419252,98.4767284257,97.9959409701,95.9205955993,95.4622292779,INR million (Historic Current Prices),238086.6104712486,285535.4476347566,345273.9292617441,417556.7799876331,493718.5741368532,573568.3621237277,653287.6956944463,737745.057859063,831668.1508810517,925322.9302067757,1034798.2875990868,1147060.7866818903,1157162.0915203097,1230567.3776893613,1308043.5712676046,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",5472.6064298459,5898.510551731,7552.9198212629,8948.3796908498,9243.8964882446,9789.2352221838,10704.0355643423,11502.3020065592,12368.6300817625,14209.1992643956,15127.8897998173,16288.7166403365,15615.5264628131,16642.7901363906,16773.2453737657,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",2985.306807481,3783.0097423527,4890.2638202737,5583.7889270903,5832.2824243165,6262.8263873125,6501.1852002996,7527.585695676,9164.6395309992,11032.8511788338,11341.1268514264,12763.2954021463,12180.1040308974,12100.016613005,12302.6190831389,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",3739.4218136717,4244.5483033611,5703.1338134972,6435.6841271213,7194.2996536156,7372.8826306685,8067.9606118428,10371.1536841315,11181.6760785368,12607.7939858449,12815.7473837927,14550.516141373,13702.2373190095,14069.4247469986,14509.1021732908,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",5927.3162807955,6409.7105057874,7876.4028845611,7947.1178916681,8668.6253674635,9073.9369466507,9796.3232432516,11069.6006801796,12187.4359016254,13992.3579593492,14759.9757458481,16184.2842444656,14662.6015349898,15213.8347315037,14837.8733953148,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",565645.8395556478,551695.8071338269,662913.6905738414,714136.4780992724,737562.2827194287,955400.234487316,1132893.322703982,1392284.9395072085,1345619.1362014473,1593865.6202632627,1670469.6884170196,1775627.5589169061,1667341.3148749042,1826618.1782208672,1795407.4784429534,INR million (Historic Current Prices),19.9292337648,20.9215640726,20.9349286465,18.2398652829,16.1731383362,13.89883732,12.92805034,12.7311043322,11.2610756137,11.8310433924,10.8487325915,0.8806250685,6.3435612614,6.2959733033,2017-2022,41.3607648278,7.168160739
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,      Convenience Retail,4,0.9398945169,0.9764690597,1.0202957171,1.0521908818,1.099972552,1.1427713999,1.2411594537,1.3541864363,1.4678749022,1.587965476,1.6306643117,1.7570118995,1.5301159477,1.5969827467,1.6274670958,INR million (Historic Current Prices),2246.9943099022,2799.3356575966,3536.1482620239,4409.462334156,5451.5400018692,6581.2038631439,8153.7521619797,10057.1225128174,12303.4533214569,14873.3475270271,17105.2740869522,20465.7433671951,18068.0153970718,20487.7258996964,22299.8969144821,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",51.6489166856,57.827884597,77.3537821297,94.4962340204,102.069223478,112.3230584458,133.5981891284,156.8022167374,182.9778652701,228.3941657999,250.0648720472,290.6216465706,243.8219974808,277.0859432019,285.9550331292,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",28.174484052,37.0879137863,50.0839954696,58.9656500287,64.3988753997,71.8605486916,81.1419734854,102.6179040587,135.5789740874,177.3385533201,187.4694668259,227.7214348645,190.1810548244,201.4532712662,209.7385311609,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",35.2916088856,41.6127507615,58.4090631048,67.9617913375,79.4379924144,84.5974897775,100.6970615169,141.3821239322,165.4184178415,202.6536848695,211.8450274377,259.6088478196,213.9477577674,234.2419626987,247.3552792072,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",55.9403400703,62.8395925002,80.6667576402,83.9227589825,95.7171968556,104.1156256703,122.2689365658,150.9035255778,180.2973320128,224.9087273839,243.9832319739,288.7583742507,228.9429564248,253.2952534851,252.9602640262,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",5338.4059707754,5408.7216065438,6789.2791668539,7541.3885070166,8144.0125989678,10962.3963406478,14139.7602314714,18979.9715500765,19906.6926071112,25619.2908526094,27612.9582129625,31680.5685962225,26033.9919274006,30411.3803415312,30608.6147038424,INR million (Historic Current Prices),24.5813416287,26.3209809237,24.6967606396,23.6327603853,20.7219218952,23.8945386215,23.3434903714,22.3357208364,20.8875844726,15.0062153518,19.6458078553,-11.7158117695,13.3922317944,8.8451545265,2017-2022,49.9319294057,8.4373325809
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,        Convenience Stores,5,0.7434303996,0.7720548155,0.8226681412,0.8442667335,0.8827007786,0.9225733517,1.0099921543,1.1123372079,1.2210621614,1.3245385575,1.3546101383,1.4705694934,1.4175843651,1.4363763715,1.4542236199,INR million (Historic Current Prices),1777.3099508286,2213.3221254349,2851.2091827393,3538.1055145264,4374.7260742188,5313.0865077972,6635.1069450378,8260.9833297729,10234.7150173187,12406.0142211914,14209.5326004028,17129.2510108948,16739.2125892639,18427.3032684326,19926.0783195496,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",40.8528553768,45.7221827251,62.3706353877,75.8227696152,81.9080284051,90.6797812,108.7153809585,128.798321477,152.2114366257,190.5059546146,207.731541366,243.2421360901,225.8902353178,249.2197880721,255.515189503,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",22.285232608,29.3239218908,40.3829073924,47.3134082399,51.6785053884,58.0139013524,66.0291925866,84.2909881713,112.7823323965,147.9199360101,155.7328743697,190.596429769,176.1942879279,181.1933907265,187.4119156051,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",27.914680236,32.9015285147,47.0954396534,54.5318160098,63.7470249837,68.2965899366,81.9421241832,116.1321608087,137.6044855855,169.035551136,175.981911094,217.2852966621,198.2130810474,210.6845682129,221.0243699842,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",44.2472518161,49.6847386116,65.0418995707,67.338726096,76.8106840805,84.0538201677,99.4962140195,123.9530996678,149.9816160001,187.5987140975,202.679458456,241.6826296164,212.105465608,227.8216955496,226.0327055345,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",4222.5305207091,4276.4586553222,5474.2204427919,6051.1296484332,6535.3687679544,8850.0768707077,11506.214494779,15590.2673329195,16559.5236108087,21369.3175713645,22938.3772470473,26515.7439881911,24119.3355132166,27352.9493272531,27350.3351239973,INR million (Historic Current Prices),24.5321405196,28.8203443129,24.0914043047,23.6460036666,21.4495814746,24.8823435361,24.5041473815,23.8922124492,21.2150431175,14.5374521346,20.5476034476,-2.2770313856,10.0846480691,8.1334475766,2017-2022,60.6162782363,9.9405516154
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,        Forecourt Retailers,5,0.1964641173,0.2044142442,0.1976275759,0.2079241483,0.2172717734,0.2201980482,0.2311672995,0.2418492284,0.2468127408,0.2634269185,0.2760541733,0.2864424061,0.1125315826,0.1606063752,0.1732434759,INR million (Historic Current Prices),469.6843590736,586.0135321617,684.9390792847,871.3568196297,1076.8139276505,1268.1173553467,1518.6452169418,1796.1391830444,2068.7383041382,2467.3333058357,2895.7414865494,3336.4923563004,1328.8028078079,2060.4226312637,2373.8185949326,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",10.7960613089,12.1057018719,14.9831467419,18.6734644052,20.1611950729,21.6432772457,24.88280817,28.0038952604,30.7664286443,37.8882111853,42.3333306812,47.3795104806,17.931762163,27.8661551298,30.4398436262,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",5.889251444,7.7639918955,9.7010880772,11.6522417889,12.7203700113,13.8466473392,15.1127808988,18.3269158874,22.7966416909,29.4186173099,31.7365924562,37.1250050955,13.9867668966,20.2598805398,22.3266155558,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",7.3769286496,8.7112222468,11.3136234514,13.4299753277,15.6909674307,16.3008998409,18.7549373337,25.2499631234,27.8139322561,33.6181337335,35.8631163437,42.3235511575,15.73467672,23.5573944858,26.330909223,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",11.6930882542,13.1548538885,15.6248580695,16.5840328865,18.9065127752,20.0618055026,22.7727225463,26.95042591,30.3157160127,37.3100132865,41.3037735179,47.0757446343,16.8374908167,25.4735579355,26.9275584917,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",1115.8754500663,1132.2629512216,1315.0587240621,1490.2588585834,1608.6438310133,2112.3194699402,2633.5457366924,3389.7042171569,3347.1689963025,4249.9732812449,4674.5809659152,5164.8246080314,1914.656414184,3058.4310142781,3258.2795798451,INR million (Historic Current Prices),24.7675211748,16.8811028575,27.2166891893,23.5789866324,17.7656903188,19.7558893535,18.2724683163,15.1769486278,19.267541037,17.3632066531,15.2206566711,-60.1736594631,55.0585699516,15.2102757421,2017-2022,-3.790112616,-0.7697829605
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,      Supermarkets,4,4.785146645,4.448764066,3.9449694276,3.8544203648,3.9071315622,4.0665603517,4.25815155,4.428997699,4.6237568801,4.8430784288,5.0877164577,5.3198807285,5.2084560455,4.5161768614,4.5018318165,INR million (Historic Current Prices),11439.7914762497,12753.690205574,13672.5035219193,16152.8879528046,19364.0140972137,23419.2618904114,27973.7726707458,32892.7917709351,38755.4667358398,45361.6842803955,53368.9146575928,61966.1789245605,61502.8319702149,57938.1297912598,61685.0476989746,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",262.9525291872,263.4621265914,299.0880981886,346.1617232266,362.5525781048,399.7024217415,458.346697037,512.8368136902,576.3741598062,696.5710995238,780.2091183869,879.9442379216,829.9607351525,783.5833717789,790.996923707,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",143.4406046716,168.9714348894,193.6495739738,216.0049152934,228.7465066123,255.7162860162,278.3806860013,335.6217790795,427.0692368264,540.8584349844,584.9097725693,689.4949733608,647.3690220942,569.6984543155,580.1700047578,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",179.6749750247,189.5864579059,225.8384156538,248.959877045,282.1658475291,301.0407836575,345.4699936332,462.4039089418,521.0624873077,618.0661384133,660.9621764893,786.0436841095,728.2699680732,662.4230187303,684.2238892405,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",284.800821566,286.2953191115,311.8977051336,307.4286204996,339.990011744,370.4962124198,419.4784644223,493.5445738087,567.9305696392,685.9409870546,761.2342379846,874.3026218859,779.3130496246,716.3046471716,699.7281652127,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",27178.6407522746,24641.975173952,26250.7215313913,27625.8632756237,28927.7478877943,39009.7672381593,48510.4808775545,62075.8324480275,62705.4163573752,78135.3478786075,86153.1714031628,95922.427387224,88618.710790137,86001.6631413989,84668.2774026582,INR million (Historic Current Prices),11.485338103,7.2042938282,18.141406414,19.8795791427,20.9421857103,19.4477127488,17.584396492,17.8235858049,17.0458985556,17.651968846,16.1091233017,-0.7477416913,-5.7959968098,6.4671019262,2017-2022,35.9849147525,6.3403650067
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Retail Value RSP,      Hypermarkets,4,2.855348356,3.7918886396,4.3751666446,4.6920349556,4.9090628795,5.1915448156,5.3365980264,5.5261727693,5.6778399339,5.8923796447,6.0977389475,6.3417509553,6.3887292429,6.0669020822,6.4270447836,INR million (Historic Current Prices),6826.246342659,10870.5636634827,15163.4841423035,19663.1160421371,24329.6549625397,29898.031047821,35058.5878105164,41041.1706085205,47590.5940551758,55189.7453308105,63963.8061981201,73868.9633178711,75439.8112792969,77832.4169006348,88064.7212524414,"USD million (Historic Current Prices, Year-on-Year Exchange Rates)",156.9065961022,224.5610308754,331.7035264802,421.3870704135,455.524308482,510.2772013498,574.430489404,639.8795003953,707.7708249573,847.4901714383,935.0976155818,1048.9684818542,1018.0357428005,1052.6433609167,1129.2675647708,"GBP million (Historic Current Prices, Year-on-Year Exchange Rates)",85.5925481737,144.0222171519,214.7669766117,262.945531938,287.4054703649,326.4583441835,348.8851446603,418.7638067045,524.4286908423,658.0408060314,701.0270974414,821.9367367649,794.067448447,765.3165154568,828.2802989366,"EUR million (Historic Current Prices, Year-on-Year Exchange Rates)",107.213985821,161.5933606024,250.4659976133,303.0620262132,354.5234824831,384.3215357756,432.9659159758,576.9530859249,639.8496882998,751.9763279903,792.1775593995,937.0310236237,893.3011243845,889.8800279564,976.8329332301,"CHF million (Historic Current Prices, Year-on-Year Exchange Rates)",169.9437066346,244.0228234176,345.9100155456,374.2367716052,427.1758755656,472.9913057834,525.7182416066,615.8080833531,697.4023400479,834.556939145,912.3558082869,1042.2431950086,955.9109313803,962.2630576338,998.9676286327,"JPY million (Historic Current Prices, Year-on-Year Exchange Rates)",16217.7866107817,21003.5021711074,29113.3514083308,33629.3148903127,36345.8796001724,49801.5367654387,60796.553028211,77453.5906805154,77000.4406156446,95064.1498251934,103256.4517067864,114347.7037474641,108700.3411657561,115532.1603214588,120876.7525766771,INR million (Historic Current Prices),59.2465773693,39.4912408566,29.6741293598,23.7324486638,22.887197101,17.2605237932,17.0645287549,15.9581789446,15.9677588114,15.8979912205,15.4855655229,2.1265331079,3.1715424267,13.1465843658,2017-2022,59.5671817737,9.7965552868
