Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116
Region,Country,Industry,Edition,Category,Subcategory,Lowest Level,Hierarchy level,Data Type,National Brand Owner,2013 (%),2014 (%),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),Current/Constant,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Currency Conversion,Unit,Unit 2013,Unit 2014,Unit 2015,Unit 2016,Unit 2017,Unit 2018,Unit 2019,Unit 2020,Unit 2021,Unit 2022,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019,Rank 2020,Rank 2021,Rank 2022,Currency Conversion,Unit,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Parle Products Pvt Ltd,15.9444578533,15.126625662,13.8485048544,13.1702955873,12.9068840422,12.3376075815,11.5640836074,12.8320116455,12.6991167107,12.0995612367,Current Prices,Local Currency,INR million,91823.9007606506,99373.8204421997,102848.5489196777,110390.9582123756,120889.6381855011,129418.5184202195,134698.8984298706,151523.8007526398,162917.2405776978,165790.7364044189,Year-on-Year Exchange Rates,USD million,1567.1815653085,1628.227372394,1603.5282893573,1641.7424727083,1856.3734907062,1891.9910364939,1912.7776084443,2044.764461036,2203.3717890569,2125.9602994063,Year-on-Year Exchange Rates,GBP million,1002.6305260988,988.9174631849,1049.4157262341,1216.4627663405,1441.3966666379,1418.3941468755,1498.7887747233,1594.9154140535,1601.9450485,1559.3213577129,Year-on-Year Exchange Rates,EUR million,1180.3420266971,1227.2450169504,1445.8356524018,1484.1928663764,1647.156472093,1602.8196593816,1708.6614053807,1794.2301191903,1862.6788730582,1838.9867025192,Year-on-Year Exchange Rates,CHF million,1452.6677911811,1490.1521540733,1543.2056846042,1617.6917751474,1828.0440653186,1845.977342481,1900.514153144,1919.9843563698,2014.1895665362,1880.6575032519,Year-on-Year Exchange Rates,JPY million,152952.258373242,172328.2688048789,194097.5194419984,178609.9247359928,208231.9932424865,208919.6655344437,208511.2480391651,218328.8711522013,241829.5808747878,227562.7009187459,1,1,1,1,1,1,1,1,1,1,Local Currency,INR million,8.2221726795,3.4966236198,7.3335106542,9.5104527972,7.055096171,4.0800807134,12.4907497529,7.5192410489,1.7637763913,2017-2022,37.1422223549,6.5207551434
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Britannia Industries Ltd,11.3691137642,11.2752991708,11.1177731066,10.5782493596,10.2109579594,10.2791886826,9.7775223314,10.7794890107,10.4965035523,10.2857816791,Current Prices,Local Currency,INR million,65474.5607299805,74072.670288086,82568.2514648437,88664.9107666015,95638.8086547852,107826.2022094727,113888.9627685547,127287.0684814454,134659.869140625,140937.9468994141,Year-on-Year Exchange Rates,USD million,1117.4707643946,1213.6712543876,1287.334905717,1318.6310926333,1468.6233802523,1576.3293427382,1617.268295227,1717.6976335567,1821.2053907275,1807.269129061,Year-on-Year Exchange Rates,GBP million,714.9205460342,737.1333502794,842.4856012556,977.0506966791,1140.3248621251,1181.7478360951,1267.2375271967,1339.8034270679,1324.0938149735,1325.5719558201,Year-on-Year Exchange Rates,EUR million,841.6368186162,914.7813287116,1160.7370544196,1192.088828548,1303.1065773997,1335.4036099891,1444.6864632882,1507.2370869688,1539.6043562216,1563.314186603,Year-on-Year Exchange Rates,CHF million,1035.8173060203,1110.750786239,1238.9070761503,1299.3138135043,1446.2112650817,1537.9926198673,1606.899448708,1612.8765186633,1664.8361001721,1598.738343756,Year-on-Year Exchange Rates,JPY million,109061.8221039245,128452.4936215473,155824.1993915293,143457.7006594987,164737.5247079794,174063.2977137595,176297.8765347588,183406.4472761897,199885.1662319956,193450.0114658916,2,2,2,2,2,2,2,2,2,2,Local Currency,INR million,13.1319850981,11.4692519437,7.3837815305,7.8654541327,12.7431465596,5.6227154762,11.7641827506,5.7922621262,4.6621742609,2017-2022,47.3648081587,8.0634320942
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Mondelez India Foods Pvt Ltd,8.7932109025,8.8322718344,8.5144466326,7.8413843317,7.3795819638,6.9514008425,6.6074355478,6.8147374155,7.288965028,7.9615103853,Current Prices,Local Currency,INR million,50639.9736328125,58023.2905197144,63234.1534500122,65725.0191802979,69119.3157577515,72918.5129318237,76963.667848587,80470.2288970947,93510.2886352539,109090.2921066284,Year-on-Year Exchange Rates,USD million,864.2851424044,950.7042140492,985.8938699256,977.4673329701,1061.3917569308,1066.0079758719,1092.9145096251,1085.9195941688,1264.6785032381,1398.8817173934,Year-on-Year Exchange Rates,GBP million,552.9408246056,577.4181269379,645.2100273906,724.2625659253,824.1264746003,799.1684127115,856.3713792586,847.0168237788,919.4750864419,1026.0333363021,Year-on-Year Exchange Rates,EUR million,650.9469605897,716.5749876629,888.940043081,883.6648054289,941.7707754433,903.0796170955,976.2874856611,952.8675209316,1069.1295680974,1210.0531121875,Year-on-Year Exchange Rates,CHF million,801.1319278888,870.0835991775,948.8058518103,963.147930511,1045.1942520992,1040.0823959558,1085.9074701362,1019.652225383,1156.0927932799,1237.472495941,Year-on-Year Exchange Rates,JPY million,84351.6586306828,100620.5976697939,119336.5629129822,106341.5058548576,119057.7878122858,117711.9898987003,119138.2455524366,115948.611037965,138803.9339971459,149736.2401192497,3,3,3,3,3,4,4,4,4,3,Local Currency,INR million,14.5800172418,8.9806401595,3.939114536,5.1643903947,5.4965781018,5.5475005648,4.5561251777,16.2048249606,16.6612719293,2017-2022,57.8289526027,9.5562945272
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,ITC Ltd,6.5124578053,6.6952267198,6.7284969923,6.8225275779,7.0478019886,7.0920749406,6.9188323813,7.6909726823,7.7913979074,7.7274896579,Current Prices,Local Currency,INR million,37505.1497344971,43984.0498962402,49970.4595794678,57185.1521301269,66011.7677993774,74394.1501846314,80590.8303527832,90817.0475921631,99956.0108184815,105883.6908111572,Year-on-Year Exchange Rates,USD million,640.1098056294,720.6730471981,779.0974827505,850.4618003197,1013.6724508132,1087.5805644744,1144.4216511169,1225.5465507747,1351.8535767187,1357.7629721725,Year-on-Year Exchange Rates,GBP million,409.5209166482,437.7067808245,509.873855107,630.1567581285,787.0744217043,815.3410228437,896.7306584268,955.9257908269,982.8550743352,995.8741006648,Year-on-Year Exchange Rates,EUR million,482.1065548564,543.1934268025,702.4802273421,768.8473424689,899.4295309098,921.3550573323,1022.2982003307,1075.3867136148,1142.825332215,1174.4847971505,Year-on-Year Exchange Rates,CHF million,593.3370568164,659.5592924383,749.7888700943,838.0029647309,998.2031725637,1061.1303338217,1137.0843821624,1150.7585593982,1235.7829864369,1201.0982152239,Year-on-Year Exchange Rates,JPY million,62472.8126881775,76274.567485862,94305.0957123969,92524.205635831,113705.0469555723,120094.1037188085,124753.0218379648,130857.221002142,148371.7752426636,145334.891362423,4,4,4,4,4,3,3,3,3,4,Local Currency,INR million,17.2746948289,13.6104103586,14.437915143,15.4351529033,12.6983152621,8.3295261157,12.6890580412,10.0630481486,5.9302886781,2017-2022,60.4012350237,9.9110967666
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Haldiram Foods International Pvt Ltd,3.6544860668,3.6490097812,3.6218102843,3.6266006886,3.6835461531,3.7441836026,3.8603784578,4.2471611374,4.4510756779,4.41561299,Current Prices,Local Currency,INR million,21046.1320800781,23972.0378417969,26898.0612792969,30397.4897460937,34501.1669921875,39275.580078125,44965.8393554688,50151.6064453125,57102.9453125,60503.6591796875,Year-on-Year Exchange Rates,USD million,359.1996195296,392.7787823029,419.3720051792,452.0737095503,529.7976961801,574.1762953863,638.5326952679,676.77963471,772.2879317589,775.8477956878,Year-on-Year Exchange Rates,GBP million,229.8039432544,238.5574665882,274.4545140228,334.9677823722,411.3658361798,430.4503990462,500.3329355888,527.887828591,561.4861887775,569.0586218794,Year-on-Year Exchange Rates,EUR million,270.5356011643,296.0494409552,378.1305267464,408.6905138563,470.0884323828,486.4193521242,570.3936347129,593.8573502182,652.8741184532,671.1196722945,Year-on-Year Exchange Rates,CHF million,332.9529452399,359.4707707575,403.5957872722,445.4510581635,521.7126505901,560.2121846396,634.4388491608,635.4797024859,705.9790373264,686.3270112566,Year-on-Year Exchange Rates,JPY million,35056.8142390325,41570.9063274337,50762.4757660679,49182.4098969027,59428.1435514854,63402.3720388316,69606.2357779328,72262.8627798843,84761.9397595431,83046.7153774581,5,5,5,5,5,5,5,5,5,5,Local Currency,INR million,13.9023443861,12.2059853935,13.0099654041,13.5000530648,13.8384104138,14.4880336994,11.5326816183,13.8606504555,5.9554088648,2017-2022,75.3669932191,11.8895613257
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Balaji Wafers Pvt Ltd,2.0973034567,2.1526414329,2.1659366836,2.1681394145,2.2013973947,2.1267277816,2.2153463233,2.6722428169,2.6768626869,2.5550081837,Current Prices,Local Currency,INR million,12078.3400878906,14141.7000732422,16085.7397460938,18172.9396972656,20618.9296875,22308.8598632813,25804.4406738281,31554.552734375,34341.5288085938,35009.2602539063,Year-on-Year Exchange Rates,USD million,206.1440623679,231.7099518664,250.7953588946,270.2692995704,316.6229550615,326.1369656441,366.4332588809,425.8184370683,464.4514939096,448.9291683332,Year-on-Year Exchange Rates,GBP million,131.8840996342,140.7309701823,164.1309326672,200.2582897609,245.8445319821,244.4994475273,287.1248872171,332.1382006631,337.6759994079,329.2746531898,Year-on-Year Exchange Rates,EUR million,155.259930153,174.6469127268,226.1318828944,244.3329408182,280.9389124838,276.2902836761,327.3304561563,373.6451213101,392.6364082369,388.3302859269,Year-on-Year Exchange Rates,CHF million,191.0811397824,212.0607292004,241.3607705503,266.3099909139,311.7910899081,318.2052332765,364.0839330257,399.8332098411,424.5735367227,397.1297154939,Year-on-Year Exchange Rates,JPY million,20119.0472038257,24523.7093706902,30357.2798634692,29403.3808938934,35516.0367075178,36013.0806470686,39944.7671255738,45466.5857376118,50975.5596702547,48053.3592728156,9,9,8,9,8,8,8,6,6,6,Local Currency,INR million,17.0831419743,13.7468597324,12.9754676137,13.4595174528,8.1960130879,15.6690249164,22.2834206454,8.8322471172,1.9443847391,2017-2022,69.7918407236,11.1689140561
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,Nestlé India Ltd,2.854438597,2.4248614948,1.9215115186,1.7870238183,1.6766486771,1.6941373022,1.6621793256,1.7668817758,1.9755259254,2.0924980613,Current Prices,Local Currency,INR million,16438.670343399,15930.0399284363,14270.4698810577,14978.4999389648,15703.9802389145,17771.0903997421,19361.1298356056,20863.8091630936,25344.0644569397,28671.8491458893,Year-on-Year Exchange Rates,USD million,280.5629134348,261.0116722834,222.4931940904,222.7613558707,241.1493081761,259.7985524441,274.9356977333,281.5503259991,342.7654215505,367.6635638196,Year-on-Year Exchange Rates,GBP million,179.4947999185,158.5276142586,145.6088167625,165.056882977,187.2423899109,194.7666447915,215.4304482206,219.6091350983,249.2050468182,269.6690280044,Year-on-Year Exchange Rates,EUR million,211.309401023,196.732520044,200.6129823637,201.384090857,213.9712970971,220.0910148644,245.5967769617,247.0534306526,289.7658544545,318.0343513724,Year-on-Year Exchange Rates,CHF million,260.0622140846,238.8776360635,214.1232956006,219.498014581,237.4692182764,253.4801868353,273.1729932638,264.3689440764,313.3354703393,325.240899448,Year-on-Year Exchange Rates,JPY million,27382.1056701785,27624.9437794007,26931.4718999901,24234.8539235405,27050.0528918117,28687.7821490841,29970.6485541325,30062.4184444094,37619.9870778093,39354.6923879849,8,8,10,10,10,10,10,8,7,7,Local Currency,INR million,-3.0941092214,-10.4178649572,4.9615048685,4.8434776707,13.1629697018,8.9473375021,7.7613204407,21.473812662,13.1304301826,2017-2022,82.5769563492,12.7948296237
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,PepsiCo India Holdings Pvt Ltd,2.9883280917,2.888318948,2.6769524426,2.4790170198,2.4453990839,2.5238105614,2.2504087967,2.0761634683,1.8700599383,1.7184898035,Current Prices,Local Currency,INR million,17209.7379951477,18974.7069129944,19880.8952407837,20778.6577320099,22904.3206329346,26474.162147522,26212.84973526,24515.8895111084,23991.0390472412,23547.1092262268,Year-on-Year Exchange Rates,USD million,293.7229186123,310.8981524652,309.9662393997,309.0217303747,351.7172710896,387.030218652,372.2328290103,330.8339637338,324.4664495876,301.9482298373,Year-on-Year Exchange Rates,GBP million,187.9141325642,188.8265837177,202.8548223231,228.9722263022,273.0938061148,290.1501044198,291.6692370515,258.0503516694,235.9009155435,221.4690104234,Year-on-Year Exchange Rates,EUR million,221.221020408,234.3334935041,279.4838375721,279.3664995587,312.0780286524,327.8766290457,332.5111429252,290.298600887,274.296332405,261.1896278943,Year-on-Year Exchange Rates,CHF million,272.2606192192,284.5336956302,298.30572111,304.4947181907,346.3498446322,377.6175471798,369.8463201764,310.6450875045,296.6076540946,267.1080942555,Year-on-Year Exchange Rates,JPY million,28666.4830241849,32904.827235642,37519.5614430691,33619.3702249536,39452.6148878242,42737.1072446214,40576.9763277448,35324.6582758989,35611.5957830631,32320.5258059646,7,7,6,6,6,6,7,7,8,8,Local Currency,INR million,10.2556408374,4.7757698285,4.5157045513,10.2300299102,15.5858869241,-0.9870469585,-6.4737723723,-2.1408583345,-1.8503984764,2017-2022,2.8064075927,0.5550848336
