5-Way Approach,RoE,=,tax burden,x,interest burden,x.1,operating profit margin,x.2,asset turnover,x.3,equity multiplier ratio,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,net income,=,net income,x,EBT,x,EBIT,x,revenue,x,average total assets,,,,,,,,,,
,average equity,,EBT,,EBIT,,revenue,,average total assets,,average equity,,,,,,,,,,
Year,ROE,,tax burden,x,interest burden,x,operating profit margin,x,asset turnover,x,equity multiplier ratio,,,,Year,ROE,Tax Burden,Interest Burden,OPM,Asset Turnover,Equity Multiplier
2018,0.7498039215686275,=,0.7166416791604198,x,0.9964688306396849,x,0.20714587143058094,x,2.1479937152525985,x,2.3597860962566846,,,,,,,,%,,
2019,0.8203378426989391,=,0.7119565217391305,x,0.9962774957698816,x,0.22283387376517608,x,2.195108331471968,x,2.36440454185371,,,,2018,0.7498039215686275,0.7166416791604198,0.9964688306396849,0.20714587143058094,2.1479937152525985,2.3597860962566846
2020,0.8653081510934395,=,0.7429851701696362,x,0.9875671688968497,x,0.23856923811678354,x,2.086977049180328,x,2.368600894632207,,,,2019,0.8203378426989391,0.7119565217391305,0.9962774957698816,0.22283387376517608,2.195108331471968,2.36440454185371
2021,0.294760567411409,=,0.7597049331489165,x,0.9893267651888341,x,0.23309517734115845,x,1.0614723109390694,x,1.5850491029103984,,,,2020,0.8653081510934395,0.7429851701696362,0.9875671688968497,0.23856923811678354,2.086977049180328,2.368600894632207
2022,0.18464878275701663,=,0.7493706997818426,x,0.9911842980705257,x,0.22926438622583228,x,0.7532855521882137,x,1.4394583139504833,,,,2021,0.294760567411409,0.7597049331489165,0.9893267651888341,0.23309517734115845,1.0614723109390694,1.5850491029103984
,,,,,,,,,,,,,,,2022,0.18464878275701663,0.7493706997818426,0.9911842980705257,0.22926438622583228,0.7532855521882137,1.4394583139504833
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Year,ROE,Tax Burden,Interest Burden,OPM,Asset Turnover,Equity Multiplier
,,,,,,,,,,,,,,,,,,,%,,
,,,,,,,,,,,,,,,,Net Income/,Net Income/,EBT/,EBIT/,Revenue/,Avg. Assets/
,,,,,,,,,,,,,,,,Avg. Shareholder’s Equity,EBT,EBIT,Revenue,Avg. Assets,Avg. Shareholder’s Equity
,,,,,,,,,,,,,,,2018,0.7498039215686275,0.7166416791604198,0.9964688306396849,0.20714587143058094,2.1479937152525985,2.3597860962566846
Year,ROE,,,,,,,,,,,,,,2019,0.8203378426989391,0.7119565217391305,0.9962774957698816,0.22283387376517608,2.195108331471968,2.36440454185371
2022,0.18464878275701663,,,,,,,,,,,,,,2020,0.8653081510934395,0.7429851701696362,0.9875671688968497,0.23856923811678354,2.086977049180328,2.368600894632207
2021,0.294760567411409,,,,,,,,,,,,,,2021,0.294760567411409,0.7597049331489165,0.9893267651888341,0.23309517734115845,1.0614723109390694,1.5850491029103984
2020,0.8653081510934395,,,,,,,,,,,,,,2022,0.18464878275701663,0.7493706997818426,0.9911842980705257,0.22926438622583228,0.7532855521882137,1.4394583139504833
2019,0.8203378426989391,,,,,,,,,,,,,,,,,,,,
2018,0.7498039215686275,,,,,,,,,,,,,,,,,,,,
