Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Detailed & consolidated ,(in Rs. Cr.),,2014-03-01 00:00:00,2015-03-01 00:00:00,2016-03-01 00:00:00,1920-05-15 00:00:00,2018-03-01 00:00:00,2019-03-01 00:00:00,2020-03-01 00:00:00,2021-03-01 00:00:00,2022-03-01 00:00:00
,Gross Sales,,29234,31972,32186,33162,35545,39310,39783,47028,52446
,Less: Excise Duty,,1563,1931,2430,2597,693,—,—,—,—
,Net Sales,,29234,31972,32186,33162,35545,39310,39783,47028,52446
,Operating Expenses ,,24509,26562,26169,26822,28046,30430,29922,35402,39589
,Increase/Decrease in Stock,,-171.3,57.04,83,144,-72,12,-108,-405,-22
,Raw Material,,12645,13509,13184,13606,14233,15845,15697,20141,22871
,Other Manufacturing Expenses,,3483,3916,3870,3578,3649,3731,3824,3622,4206
,Employee Cost,,1573,1724,1680,1743,1860,1875,1820,2358,2545
,Selling and Distribution Expenses,,5029,5404,5178,5058,5700,6206,6220,6497,6618
,Power & Fuel Cost,,363,347,309,295,295,308,110,339,318
,General and Administration Expenses,,549,530,567,944,905,904,675,652,699
,Miscellaneous Expenses,,1038,1075,1298,1454,1476,1549,1684,2198,2354
,Operating Profit,,4725,5410,6017,6340,7499,8880,9861,11626,12857
,Other Income,,591,570,426,369,384,550,632,410,258
,Interest,,40.68,17.7,17,35,26,33,118,117,106
,PBDT,,5275,5963,6426,6674,7857,9397,10375,11919,13009
,Depreciation and Amortization,,296,322,353,432,520,565,1002,1074,1091
,Profit Before Taxation & Exceptional Items,,4980,5640,6073,6242,7337,8832,9373,10845,11918
,Exceptional Income / Expenses,,236,679,-31,237,-33,-228,-200,-239,-44
,Profit Before Tax,,5215,6320,6033,6479,7304,8604,9173,10606,11874
,Provision for Taxs ,,1259,1944,1875,1977,2079,2544,2409,2606,2987
,Profit After Tax,,3956,4376,4158,4502,5225,6060,6764,8000,8887
,Extra items,,0,0,-7,-12,2,0,-8,-1,5
,Minority Interest,,-10.17,-12.43,-12,-14,-13,-6,-8,-4,-13
,Share of Associate,,—,—,-9,—,—,—,—,—,—
,Net Profit,,3946,4363,4139,4476,5214,6054,6748,7995,8879
,Operating Leverage,,3.66,3.56,3.3,3.26,3.01,2.78,2.71,2.52,2.49
,,,,,,,,,,,
,,,,,,,,,,,
,EBITDA,,5316,5980,6443,6709,7883,9430,10493,12036,13115
,EBIT,,5020,5658,6090,6277,7363,8865,9491,10962,12024
,EBT,,4979.32,5640.3,6073,6242,7337,8832,9373,10845,11918
,PAT,,3720.3199999999997,3696.3,4198,4265,5258,6288,6964,8239,8931
