Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,(in Rs. Cr.),,2014-03-01 00:00:00,2015-03-01 00:00:00,2016-03-01 00:00:00,1920-05-15 00:00:00,2018-03-01 00:00:00,2019-03-01 00:00:00,2020-03-01 00:00:00,2021-03-01 00:00:00,2022-03-01 00:00:00
,Assets ,,40848,45952,51651,55898,64241,71739,77311,73761,77196
,Non Current Assets ,,18273.239999999998,20378.239999999998,26789,29628.72,37847,39991,37419.76,38392.19,42599.8
,Gross Block,,20000,23361,16176,18094,19920,24090,27558,30678,33025
,Less: Accumulated Depreciation,,7073,8057,1069,2201,3396,4716,6230,7756,9158
,Less: Impairment of Assets,,—,—,—,—,—,—,—,—,—
,Net Block,,12927,15304,15107,15893,16524,19374,21328,22922,23867
,Lease Adjustment A/c,,-5.67,-1.05,—,—,—,—,—,—,—
,Capital Work in Progress,,3117,2700,2560,3730,5508,4136,3256,4011,3226
,Long Term Investments,,799,808,5126,6694,11484,11696,10715,10025,12577
,Long Term Loans & Advances,,1429,1565,3062,3306,3305,3260,2110,1401,2910
,Other Non Current Assets,,1.24,1.24,934,5.72,1026,1525,10.76,33.19,19.8
,Current Assets ,,22581,25574,24863,26269,26394,31747,39505,34992,34232
,Inventory,,8255,8587,9062,8116,7495,7860,8879,10397,10864
,Accounts Receivable,,2439,1982,1917,2474,2682,4035,2562,2502,2462
,Short Term Investments,,6486,6135,6622,10887,10569,13348,17948,14846,12264
,Cash & Bank Balances,,3490,7896,6063,2967,2900,4152,7277,4659,4654
,Other Current Assets,,345,405,653,685,961,972,1056,1026,1318
,Short Term Loans and Advances,,1566,569,545,1139,1786,1381,1782,1562,2670
,Liabilities ,,40848,45952,51651,55898,64241,71739,77311,73761,77196
,Shareholders Funds ,,27237,31735,42680,46413,52510,59141,65273,60347,62456
,Share Capital,,795,802,805,1215,1220,1226,1229,1231,1232
,Share Warrants,,—,—,—,—,—,—,—,—,—
,Reserves,,26442,30934,40674,43598,49416,55917,62022,57410,59907
,Non Current Liabilities ,,1522,1832,2052,2070,2146,2243,2100,2377,2210
,Secured Loans,,—,—,—,—,—,—,—,—,—
,Unsecured Loans,,76.4,60.68,26.66,18.4,11.5,8.15,5.9,5.58,4.85
,Deferred Tax Assets/Liabilities,,1271,1604,1839,1834,1875,1993,1571,1678,1610
,Other Long Term Liabilities,,42.74,42.67,50.92,59,110,79.92,348,506,375
,Long Term Provisions,,132,124,135,158,150,162,175,188,221
,Current Liabilities ,,11886,12160,6658,7121,9250,10012,9560,10690,12164
,Accounts Payable,,2106,2020,2339,2659,3496,3510,3630,4319,4417
,Short Term Loans,,150,195,43.95,19.11,17.35,1.86,1.42,3.88,—
,Other Current Liabilities ,,3673,3782,4119,4231,5604,6025,5531,5840,6980
,Short Term Provisions,,5956,6162,156,212,132,475,397,527,767
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,(in Rs. Cr.),,2014-03-01 00:00:00,2015-03-01 00:00:00,2016-03-01 00:00:00,2017-03-01 00:00:00,2018-03-01 00:00:00,2019-03-01 00:00:00,2020-03-01 00:00:00,2021-03-01 00:00:00,2022-03-01 00:00:00
,Liabilities ,,40848,45952,51651,55898,64241,71739,77311,73761,77196
,Shareholders Funds ,,27237,31735,42680,46413,52510,59141,65273,60347,62456
,Share Capital,,795,802,805,1215,1220,1226,1229,1231,1232
,Share Warrants,,—,—,—,—,—,—,—,—,—
,Reserves,,26442,30934,40674,43598,49416,55917,62022,57410,59907
,Non Current Liabilities ,,1522,1832,2052,2070,2146,2243,2100,2377,2210
,Secured Loans,,—,—,—,—,—,—,—,—,—
,Unsecured Loans,,76.4,60.68,26.66,18.4,11.5,8.15,5.9,5.58,4.85
,Deferred Tax Assets/Liabilities,,1271,1604,1839,1834,1875,1993,1571,1678,1610
,Other Long Term Liabilities,,42.74,42.67,50.92,59,110,79.92,348,506,375
,Long Term Provisions,,132,124,135,158,150,162,175,188,221
,Current Liabilities ,,11886,12160,6658,7121,9250,10012,9560,10690,12164
,Accounts Payable,,2106,2020,2339,2659,3496,3510,3630,4319,4417
,Short Term Loans,,150,195,43.95,19.11,17.35,1.86,1.42,3.88,—
,Other Current Liabilities ,,3673,3782,4119,4231,5604,6025,5531,5840,6980
,Short Term Provisions,,5956,6162,156,212,132,475,397,527,767
