Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,7441,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5-Way Approach,RoE,=,tax burden,x,interest burden,x,operating profit margin,x,asset turnover,x,equity multiplier ratio,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,net income,=,net income,x,EBT,x,EBIT,x,revenue,x,average total assets,,,,,,,,,,
,average equity,,EBT,,EBIT,,revenue,,average total assets,,average equity,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2022,0.2522089851225133,=,0.7472857466169248,x,0.9971135062310541,x,0.342569394079251,x,0.8037785594573289,x,1.2292615001262184,,,,,,,,,,
2021,0.21318309186435278,=,0.7461692736094617,x,0.9967799811142587,x,0.36537251638828566,x,0.6523114806185131,x,1.2026110491959878,,,,,,,,,,
2020,0.25265034481649973,=,0.7796476147672807,x,0.9959792490118576,x,0.409683426443203,x,0.6629184837302918,x,1.1980163004163518,,,,,,,,,,
2019,0.22482192019020866,=,0.6700735724437756,x,0.9962829923473371,x,0.38881467087685206,x,0.7111781144285925,x,1.217902213146322,,,,,,,,,,
2018,0.2238710916571475,=,0.6517746777326505,x,0.993276426566885,x,0.3936569311146402,x,0.7233121634107159,x,1.2144698401787248,,,,,,,,,,
2017,,=,,x,,x,,x,0,x,29.03321033210332,,,,,,,,,,
2016,,=,,x,0,x,,x,0,x,227.71322160148975,,,,,,,,,,
2015,,=,,x,,x,,x,0,x,5.344516693076881,,,,,,,,,,
2014,,=,,x,,x,,x,0,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5-Way Approach,RoE,=,tax burden,x,interest burden,x,operating profit margin,x,asset turnover,x,equity multiplier ratio,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,net income,=,net income,x,EBT,x,EBIT,x,revenue,x,average total assets,,,,,,,,,,
,average equity,,EBT,,EBIT,,revenue,,average total assets,,average equity,,,,,,,,,,
Year,ROE,,tax burden,x,interest burden,x,operating profit margin,x,asset turnover,x,equity multiplier ratio,,,,Year,ROE,Tax Burden,Interest Burden,OPM,Asset Turnover,Equity Multiplier
2018,0.2238710916571475,=,0.6517746777326505,x,0.993276426566885,x,0.3936569311146402,x,0.7233121634107159,x,1.2144698401787248,,,,,,,,%,,
2019,0.22482192019020866,=,0.6700735724437756,x,0.9962829923473371,x,0.38881467087685206,x,0.7111781144285925,x,1.217902213146322,,,,2018,0.2238710916571475,0.6517746777326505,0.993276426566885,0.3936569311146402,0.7233121634107159,1.2144698401787248
2020,0.25265034481649973,=,0.7796476147672807,x,0.9959792490118576,x,0.409683426443203,x,0.6629184837302918,x,1.1980163004163518,,,,2019,0.22482192019020866,0.6700735724437756,0.9962829923473371,0.38881467087685206,0.7111781144285925,1.217902213146322
2021,0.21318309186435278,=,0.7461692736094617,x,0.9967799811142587,x,0.36537251638828566,x,0.6523114806185131,x,1.2026110491959878,,,,2020,0.25265034481649973,0.7796476147672807,0.9959792490118576,0.409683426443203,0.6629184837302918,1.1980163004163518
2022,0.2522089851225133,=,0.7472857466169248,x,0.9971135062310541,x,0.342569394079251,x,0.8037785594573289,x,1.2292615001262184,,,,2021,0.21318309186435278,0.7461692736094617,0.9967799811142587,0.36537251638828566,0.6523114806185131,1.2026110491959878
,,,,,,,,,,,,,,,2022,0.2522089851225133,0.7472857466169248,0.9971135062310541,0.342569394079251,0.8037785594573289,1.2292615001262184
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Year,ROE,Tax Burden,Interest Burden,OPM,Asset Turnover,Equity Multiplier
,,,,,,,,,,,,,,,,,,,%,,
,,,,,,,,,,,,,,,,Net Income/,Net Income/,EBT/,EBIT/,Revenue/,Avg. Assets/
,,,,,,,,,,,,,,,,Avg. Shareholder’s Equity,EBT,EBIT,Revenue,Avg. Assets,Avg. Shareholder’s Equity
,,,,,,,,,,,,,,,2018,0.2238710916571475,0.6517746777326505,0.993276426566885,0.3936569311146402,0.7233121634107159,1.2144698401787248
Year,ROE,,,,,,,,,,,,,,2019,0.22482192019020866,0.6700735724437756,0.9962829923473371,0.38881467087685206,0.7111781144285925,1.217902213146322
2022,0.2522089851225133,,,,,,,,,,,,,,2020,0.25265034481649973,0.7796476147672807,0.9959792490118576,0.409683426443203,0.6629184837302918,1.1980163004163518
2021,0.21318309186435278,,,,,,,,,,,,,,2021,0.21318309186435278,0.7461692736094617,0.9967799811142587,0.36537251638828566,0.6523114806185131,1.2026110491959878
2020,0.25265034481649973,,,,,,,,,,,,,,2022,0.2522089851225133,0.7472857466169248,0.9971135062310541,0.342569394079251,0.8037785594573289,1.2292615001262184
2019,0.22482192019020866,,,,,,,,,,,,,,,,,,,,
2018,0.2238710916571475,,,,,,,,,,,,,,,,,,,,
