Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
Region,Country,Industry,Edition,Category,Subcategory,Lowest Level,Hierarchy Level,Data Type,Unit,Current/Constant,Currency Conversion,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,Growth% 2008-2009,Growth% 2009-2010,Growth% 2010-2011,Growth% 2011-2012,Growth% 2012-2013,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Growth% 2022-2023,Growth% 2023-2024,Growth% 2024-2025,Growth% 2025-2026,Growth% 2026-2027,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%,Forecast Period Growth Years,Forecast PGrowth%,Forecast CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Foodservice Volume,Not calculable,,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2022,,,2022-2027,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Foodservice Volume (Tonnes),000 tonnes,,Volume,102.1553729738,112.0237856591,123.8823185329,137.3243249406,149.4287528498,161.8262523399,173.832144671,186.7489385988,200.9623629193,215.3828079292,230.8129876225,246.2244397257,203.7649501774,225.7866633881,239.3914962331,257.0065747865,275.03636523,293.7220490262,312.7171230541,331.9408645853,9.6601993592,10.5857276684,10.8506254701,8.8144820042,8.2965957044,7.4190016499,7.4306129929,7.6109799751,7.1756943939,7.1640721196,6.6770298595,-17.2442222208,10.807409808,6.025525441,7.3582724661,7.0153031916,6.7938957019,6.4670235316,6.1473261661,2017-2022,11.146984541,2.1361626368,2022-2027,38.6602572809,6.7555347552
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Volume,Not calculable,,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2022,,,2022-2027,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Volume (Tonnes),000 tonnes,,Volume,1876.4113817853,2167.2478329184,2369.6157958645,2672.2405085683,2941.2726272058,3181.3834094454,3377.8657735807,3568.0592847249,3836.6633478381,4059.9041638534,4296.7490017679,4492.1457364418,4464.7216118799,4649.1181971235,4826.9108710678,5098.993416437,5389.3443168671,5690.1249717949,5993.5321406471,6320.0317209841,15.4996102644,9.3375552105,12.7710455523,10.0676611171,8.1634997048,6.1760039218,5.6305822639,7.5280156993,5.8186188304,5.833754403,4.5475482648,-0.6104905355,4.130080244,3.8242235711,5.636784118,5.6942787864,5.5810250235,5.3321705649,5.4475319841,2017-2022,18.8922367686,3.5215341705,2022-2027,30.9332591755,5.5382760287
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Total Volume,Not calculable,,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2022,,,2022-2027,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Total Volume (Tonnes),000 tonnes,,Volume,1978.566754759,2279.2716185776,2493.4981143974,2809.5648335089,3090.7013800556,3343.2096617853,3551.6979182516,3754.8082233237,4037.6257107574,4275.2869717826,4527.5619893904,4738.3701761675,4668.4865620573,4874.9048605116,5066.3023673009,5355.9999912235,5664.3806820971,5983.8470208211,6306.2492637012,6651.9725855694,15.198115661,9.3989015646,12.6756349759,10.0064089354,8.1699346096,6.2361705534,5.7186818741,7.532142006,5.8861637519,5.9007738959,4.6561082382,-1.474844968,4.421524957,3.9261793259,5.7181274018,5.7576678749,5.6399164649,5.3878757555,5.4822336925,2017-2022,18.5020421024,3.4534949384,2022-2027,31.2983731193,5.5970702375
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,INR million,"Historic Current Prices, Forecast Current Prices",Local Currency,239068.7752100473,286679.4016590047,346580.7219246039,419074.3723825792,495606.9123527746,575898.5448441043,656946.3848908367,742668.9740207517,838181.3261586024,936629.1491469262,1048975.804791413,1164803.9135942191,1180826.552676226,1282902.1442174993,1370221.0614208293,1528297.3333799387,1690609.5710401803,1858763.2093464478,2027386.292988228,2205305.330483786,19.9150334071,20.8948811526,20.916815585,18.2622811161,16.2006684108,14.0732843957,13.0486431011,12.8606896853,11.7454087697,11.9947853157,11.0420191079,1.3755653544,8.6444187175,6.8063583491,11.5365524885,10.620462008,9.9463318549,9.0717893917,8.7757837819,2017-2022,46.2928057139,7.9057515375,2022-2027,60.9452220941,9.9855466557
Asia Pacific,India,Snacks,2023,Snacks,Snacks,no,0,Retail Value RSP,USD million,"Historic Current Prices, Forecast Current Prices","Historic Year-on-Year Exchange Rates, Forecast Year-on-Year Exchange Rates",5495.1822523757,5922.1420305495,7581.506109914,8980.9021970496,9279.2518585247,9829.0050356303,10763.9827201438,11579.0715764037,12465.4945048865,14382.8168335739,15335.1533025606,16540.6760569115,15934.8706775229,17350.5909053337,17570.5569633592,18861.6602890254,20964.4993044135,22469.551348969,23914.9216319033,25400.8600655003,7.769710968,28.0196602987,18.4580222827,3.3220455465,5.9245420373,9.5124346882,7.5723723965,7.6553886262,15.3810370534,6.6213487942,7.8611718485,-3.6625188554,8.8844161742,1.2677727187,7.3481069972,11.1487482182,7.17905075,6.4325729539,6.2134363494,2017-2022,22.1635314325,4.0850405432,2022-2027,44.5649111663,7.6496392399
