Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Region,Country,Industry,Edition,Category,Subcategory,Hierarchy Level,Measure,Data,Unit,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,Abrasives/Inorganics,% Breakdown,0.007,0.007,0.008,0.009,0.009,0.009,0.01,0.011,0.012,0.012,0.013,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,Abrasives/Inorganics,Tonnes,135.275,161.554,200.979,239.112,276.699,317.461,363.868,417.265,478.949,528.586,580.505,640.927,679.54,746.277,815.964,889.171,967.267,1049.231,1131.927,1221.713
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Calcium Carbonate,% Breakdown,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Calcium Carbonate,Tonnes,6.217,9.508,13.858,16.4,16.376,16.197,14.947,14.283,13.059,12.41,12.257,12.091,11.62,11.465,11.331,11.218,11.121,11.052,11.007,10.962
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Mica,% Breakdown,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Mica,Tonnes,35.311,41.119,49.969,58.91,68.366,78.697,90.774,104.466,120.346,133.092,146.168,161.335,170.887,187.554,204.946,223.186,242.603,262.899,283.307,305.411
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Silica (Abrasives),% Breakdown,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.009,0.009,0.009,0.01,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,-Silica (Abrasives),Tonnes,93.747,110.927,137.152,163.802,191.957,222.566,258.147,298.517,345.544,383.084,422.08,467.501,497.033,547.258,599.687,654.767,713.543,775.28,837.613,905.34
Asia Pacific,India,Snacks,2023,Snacks,Snacks,0,Products by Ingredient,Acidulants,% Breakdown,0.061,0.064,0.07,0.073,0.077,0.079,0.082,0.086,0.09,0.092,0.093,0.097,0.102,0.104,0.107,0.109,0.113,0.117,0.121,0.126
