LT Foods,Unnamed: 1,2014,2015,2016,2017,2018,2019,2020,2021,2022,TTM,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Gross Sales,,2474.0,2735.0,2973.0,3245.0,3614.0,3890.0,4135.0,4742.0,5427.0,,,,,,,
Operating Expenses ,,2211.0,2471.0,2617.0,2887.0,3236.0,3493.0,3664.0,4175.0,4831.0,5984,,,,,,
Increase/Decrease in Stock,,-152.34,-32.89,28.44,-213.22,-153.32,-34.57,97.37,-446.65,48.36,-200.17,,,,Company,SG&A as % of Rev. p.p change FY17-22,SG&A as a % of Revenue FY22
Raw Material,,1932.0,2031.0,2003.0,2500.0,2670.0,2831.0,2778.0,3488.0,3421.0,4183,,,,LT Foods,0.05600336160889326,0.14188317670904735
Other Manufacturing Expenses,,93.18,95.18,116.0,170.0,206.0,203.0,182.0,235.0,259.0,—,,,,KRBL,0.020459171341953374,0.06214913322251246
Employee Cost,,58.97,69.74,86.37,117.0,135.0,152.0,199.0,264.0,290.0,341,,,,Kohinoor,0.029454102919808572,0.11616110378411282
Selling and Distribution Expenses,,153.0,176.0,255.0,191.0,227.0,171.0,197.0,387.0,566.0,—,,,,Adani Wilmar,-0.014322413022370473,0.03421625410410595
Power & Fuel Cost,,23.69,28.58,33.22,30.32,31.81,36.23,39.15,44.46,31.04,—,,,,Nestle,-0.024608261478711868,0.15701012013966975
General and Administration Expenses,,60.19,57.49,83.02,87.68,106.0,123.0,156.0,182.0,204.0,—,,,,Britannia,-0.017072874017918516,0.08399405772495755
Miscellaneous Expenses,,42.31,45.01,11.5,4.29,13.19,11.74,16.84,20.43,12.18,—,,,,HUL,-0.041475360449150706,0.1395149296419174
SG&A,,0.08617219078415521,0.08537111517367459,0.11369660275815674,0.08587981510015409,0.09214167127836193,0.07557840616966581,0.08536880290205562,0.11999156474061577,0.14188317670904735,596.97,,,,ITC,-0.017088714098480576,0.07691039757367969
EBP,,0.02383589329021827,0.02549908592321755,0.02905146316851665,0.03605546995377504,0.037354731599335916,0.0390745501285347,0.04812575574365175,0.05567271193589203,0.05343652109821264,,,,,Marico,-0.06074683841488285,0.13425147182506308
KRBL,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,Dabur,-0.01680129524417695,0.1355496372485995
Gross Sales,,2910.0,3197.0,3363.0,3148.0,3246.0,4120.0,4499.0,3992.0,4211.0,,,,,,,
